 
53.7901498,20.4898365,Kościół pw. Świętego Józefa,,,place_of_worship,,christian,,
53.7765972,20.4746119,,,ruins,,,,,
53.7772329,20.4716937,,,,,bowling_alley,,,
53.7765799,20.4683450,Kaplica Jerozolimska,,yes,,,,,
53.7778985,20.4707827,"Kościół pw. Najświętszej Maryi Panny Królowej Polski i Świętych Archaniołów Michała, Rafała i Gabriela",,,place_of_worship,,christian,,Od dnia 1 stycznia 2014 roku jest już parafią cywilną.
53.7801888,20.4931283,Warmińsko-Mazurska Filharmonia im. Feliksa Nowowiejskiego,,,theatre,,,,
53.7574787,20.4566453,park Kortowski,,,,park,,,
53.7543093,20.4548660,,,,,pitch,,,
53.7535170,20.4577051,,,,,pitch,,,
53.7537514,20.4576514,,,,,pitch,,,
53.7534568,20.4572590,,,,,track,,,
53.7542812,20.4553421,,,,,pitch,,,
53.7538093,20.4566750,,,,,pitch,,,
53.7546731,20.4564690,,,,,pitch,,,
53.7535036,20.4989669,Kościół pw. Miłosierdzia Bożego,,,place_of_worship,,christian,,
53.7693842,20.5037842,Korty tenisowe,,,,pitch,,,
53.7659082,20.4304025,Kościół pw. Chrystusa Zmartwychwstałego,,,place_of_worship,,christian,,
53.7636965,20.4295446,,,,,pitch,,,
53.7708183,20.4628171,Orlik,,,,pitch,,,
53.7828570,20.4516467,,,,,pitch,,,
53.7801193,20.4793386,Teatr im. Stefana Jaracza,,,theatre,,,,
53.7796663,20.4741483,,,house,,,,,
53.7668717,20.5137832,,,,,playground,,,
53.7781837,20.4850513,,,,,pitch,,,
53.7842086,20.4544937,Kościół pw. Najświętszej Maryi Panny Saletyńskiej,,,place_of_worship,,christian,,
53.7649773,20.4707310,,,,,pitch,,,
53.7622360,20.4706265,,,,,pitch,,,
53.7637327,20.4694767,,,,,pitch,,,
53.7619904,20.4707520,,,,,pitch,,,
53.7594944,20.4687803,,,,,pitch,,,
53.7590250,20.4691166,,,,,pitch,,,
53.7588698,20.4694544,,,,,pitch,,,
53.7593394,20.4690906,,,,,pitch,,,
53.7858444,20.4860078,,,,,sports_hall,,,
53.7957387,20.4871434,,,,,pitch,,,
53.7843858,20.4850935,Kościół pw. Chrystusa Króla,,,place_of_worship,,christian,,
53.7909526,20.5136353,Kościół pw. Świętej Anny,,,place_of_worship,,christian,,
53.7835421,20.4996529,Kościół pw. Świętego Maksymiliana Marii Kolbego,,,place_of_worship,,christian,,
53.7840692,20.5012114,Parafia Greckokatolicka (bizantyjsko-ukraińska) pw. Pokrowa Matki Bożej w Olsztynie,,,place_of_worship,,christian,,
53.7918349,20.4999614,,,,,pitch,,,
53.7767051,20.4981115,,,,,pitch,,,
53.7607852,20.5037675,,,,,pitch,,,
53.7549616,20.4893005,,,,,pitch,,,
53.7946196,20.5001804,Górka Jasia,,,,park,,,
53.7779706,20.4946311,,,,,pitch,,,
53.7758797,20.5037065,,,,,pitch,,,
53.7791246,20.4848175,,,,,park,,,
53.7918947,20.5037362,,,,,pitch,,,
53.7913352,20.4974854,,,,,playground,,,
53.7930116,20.4342207,Kościół Najświętszej Maryi Panny Wspomożycielki Wiernych,,,place_of_worship,,christian,,
53.7713785,20.4945738,park Jar I,,,,park,,,
53.7801435,20.4807209,plac Trzech Krzyży,,,,park,,,
53.7554564,20.4740873,,,,,park,,,
53.7815140,20.4895973,,,,,park,,,
53.7576691,20.4742112,,,,,park,,,
53.7908203,20.4898976,,,,,park,,,
53.7814690,20.4901654,,,,,park,,,
53.7838140,20.4402327,,,,,pitch,,,
53.7818794,20.4421661,Harcerska Stanica Wodna Bryza,,,,marina,,,
53.7830240,20.4805315,Kaplica Matki Boskiej Wniebowziętej,,,place_of_worship,,christian,,
53.7922460,20.4829530,Cerkiew Opieki Matki Bożej,,,place_of_worship,,christian,,
