@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
46.1209255,11.3786794,Gruab va Hardimbl - Miniera dell'Erdemolo,attraction,,,,,,
45.5894084,11.3897996,Villa Piovene da Schio,attraction,monument,,,,,
45.7840543,11.6928693,Cascata del Silan,attraction,,,,,,
45.7216997,11.7462431,Villa Cà Dolfin,attraction,monument,,,,,
45.6787341,11.7771195,Villa Giustinian,attraction,monument,,,,,
46.0541905,11.4585231,Palazzo Armellini-Sette,attraction,yes,,,,,
46.4703874,11.9520120,Postazioni della Grande Guerra,attraction,,,,,,
46.4698177,11.9542201,Postazioni della Grande Guerra,attraction,,,,,,
45.5507896,11.5450053,ruota dell'ex-Tipografia Rumor,attraction,water_wheel,,,,,
45.5508552,11.5450425,ruota dell'ex-Tipografia Rumor,attraction,water_wheel,,,,,
46.4818375,11.1370352,Ginepro dei Pradaci,attraction,,,,,tree,
46.0636388,11.6126326,Labirinto,attraction,,,,,,
46.1817599,11.2694709,Piramidi di Segonzano,attraction,,,,,rock,
46.4059131,10.7892188,Cascate Ragaiolo,attraction,,,,,,
45.5456277,11.5440703,Criptoportico Romano,attraction,,,,,,
45.9550508,11.8586347,Roccia Forata,attraction,,,,,,
45.8556622,12.0172827,Villa Bellati,attraction,,,,,,
46.1735880,11.1453408,,attraction,lime_kiln,,,,,
46.1768357,11.1520813,,attraction,lime_kiln,,,,,
46.0969444,11.5243738,Pria Lunella,attraction,,,,,rock,
45.9302600,11.1144859,Fontana del Castel,attraction,fountain,watering_place,,,,
46.1220486,11.1169085,Villa Salvadori Zanatta,attraction,,,,,,
45.6488837,11.7855221,Palazzo Pretorio,attraction,,,,,,
45.6543767,10.7345129,,attraction,,,,,,
46.0797269,11.5434326,Tiglio secolare,attraction,yes,,,,tree,
46.0447441,11.1124826,Ferrari F. Lunelli,attraction,,,,,,
46.1768992,11.8321647,Palazzo Someda,attraction,,,,,,
46.1748726,11.8261046,Nuova Canonica,attraction,,,,,,
46.1744406,11.8253381,Madonna dei sette dolori,attraction,,,,,,
46.1742692,11.8249963,Capitello della Peste,attraction,wayside_shrine,,,,,
46.1743910,11.8246349,Casa Lenzi,attraction,,,,,,
46.1732568,11.8234544,Lisiéra,attraction,,,,,,
46.1720057,11.8230912,Cimitero Monumentale,attraction,,,,,,
46.1750459,11.8273821,Rivetta Koch,attraction,,,,,,
46.1839281,11.8373704,Campagna,attraction,,,common,,,
45.8077723,10.7769714,,attraction,,,,,,
46.4293535,10.9157056,Larice di Bresimo,attraction,,,,,tree,
46.0642625,11.6104436,Roccolo,attraction,,,,,,
45.8672948,11.4774553,,attraction,locomotive,,,,,
46.0592803,11.2492931,Castello di Pergine,attraction,castle,,,,,
45.5584069,11.6031673,Villa Ghislanzoni,attraction,manor,,,,,
46.0183250,10.8112658,La Bifora,attraction,,,,,,
46.3755040,11.8659810,Cascata di Barezze,attraction,,,,,,Cascata delle Barezza
46.0101443,11.6380511,,attraction,archaeological_site,,,,,
46.0736524,11.1509504,Cascata dell'Orrido,attraction,,,,,,
45.9217859,11.0060628,Machina da bater,attraction,,,,,,Trebbiatrice storica
45.7212172,12.0133123,Villa Pola,attraction,,,,,,
45.5510538,11.5390321,Bambini,attraction,,,,,,
45.5445218,11.5483360,Palazzi Gualdo,attraction,,,,,,
45.8800633,10.8852769,Marmitta dei Giganti,attraction,,,,,cave_entrance,
46.3628801,11.4116996,Bletterbach-Schlucht - Gola del Bletterbach,attraction,,,,,,
45.8778167,10.8383646,Strada del Ponale,attraction,,,,,,
45.8741342,10.8374419,Strada del Ponale,attraction,,,,,,
46.3912600,11.7763815,Ricoveri per truppe Italiane guerra 1914 - 1918,attraction,,,,,,
46.3913979,11.7741138,POSTAZIONE ITALIANA GUERRA 1914 - 1918,attraction,,,,,,
46.3891537,11.7714428,RICOVERI PER TRUPPE ITALIANE - GUERRA 1914 - 1918,attraction,,,,,,
46.3852721,11.7764283,POSTAZIONE ITALIANA PRIMA GUERRA MONDIALE 1914 - 1918,attraction,,,,,,
46.3852703,11.7782360,RICOVERI PER TRUPPE ITALIANE PRIMA GUERRA MONDIALE 1914 - 1918,attraction,,,,,,
45.5427817,10.8492418,Antica fontana di Caranzano,attraction,,,,,,
45.8476533,11.8404835,Giardino vegetazionale Astego,attraction,,,,,,
46.0544318,11.4590321,Palazzo Bertondello Hippoliti,attraction,yes,,,,,
46.0540000,11.4576736,Antica casa della Magnifica Comunità del Borgo,attraction,yes,,,,,
46.0544529,11.4554713,Palazzo Zanelli,attraction,yes,,,,,
45.5441242,11.7851255,Villa Contarini,attraction,yes,,,,,
46.2267387,11.2962659,Molino Nones,attraction,,,,,,
45.8300817,11.2124745,Autocarro storico FIAT 666N7,attraction,ruins,,,,,
